Name,Latitude,Longitude,Province
OUR SAVIOR HOSPITAL,14.4025712,120.860776,CAVITE              
MPH MATERNAL AND CHILD CARE CLINIC (MEDICION BRANCH),14.42972,120.93667,CAVITE              
MOTHER AND CHILD'S CRADLE OF HEALTH,14.45903,120.92903,CAVITE              
A.R. PAMPOSA MEDICAL CLINIC AND LYING-IN,65.31735,25.3731,CAVITE              
GINA O. STA. RITA LYING-IN CLINIC (NOVELETA BRANCH),14.4278759,120.8801134,CAVITE              
RONA CRUZ LYING IN AND FAMILY CLINIC,14.32944,120.93667,CAVITE              
MARY MAGDALENE MEDICAL SURGICAL AND LYING-IN CLINIC,14.32944,120.93667,CAVITE              
CUDDLES AND CRIBS LYING-IN CLINIC,14.3192664,120.7640193,CAVITE              
BALDOVINO MEDICAL FAMILY CLINIC,14.3263721,120.775245,CAVITE              
BALDOVINO MEDICAL FAMILY CLINIC - BRANCH 2,14.2788223,120.7398417,CAVITE              
RENTOSA MATERNITY AND LYING-IN CLINIC - II,14.32944,120.93667,CAVITE              
TANZA FAMILY GENERAL HOSPITAL,14.3919658,120.8552146,CAVITE              
ULTIMED HEALTHCARE AND DIAGNOSTIC CLINIC,14.45903,120.92903,CAVITE              
LORNA DEL MUNDO LYING-IN CLINIC,14.1536554,120.7747502,CAVITE              
"KRB MATERNITY, ADULT AND CHILD CLINIC",14.42972,120.93667,CAVITE              
ARTHEANA LYING IN CLINIC,14.42972,120.93667,CAVITE              
CONTRERAS MEDICAL CLINIC,14.41827,120.8577,CAVITE              
MEDIX HEALTHCARE AND DIAGNOSTIC CENTER INC.,14.12861,120.90583,CAVITE              
INFANT JESUS MATERNITY AND BIRTHING CLINIC,14.17056,120.92361,CAVITE              
NOYNAY MEDICAL CLINIC,14.32944,120.93667,CAVITE              
A.V.S. LYING-IN CLINIC,14.32944,120.93667,CAVITE              
GMA - MUNICIPAL BIRTHING CLINIC (CAVITE),14.3015696,121.0108852,CAVITE              
KAWIT LYING-IN CLINIC,14.4511064,120.9226828,CAVITE              
STRIKE SA SERBISYO HEALTH CENTER/LYING IN,14.45903,120.92903,CAVITE              
RIZZA-GLEN LYING IN,14.42972,120.93667,CAVITE              
GBH LYING IN AND FAMILY MEDICAL CLINIC,14.47838,120.89041,CAVITE              
JANCOR DIAGNOSTICS AND MEDICAL INC.,14.41827,120.8577,CAVITE              
GMA MEDICAL AND LYING-IN CLINIC,14.3016503,121.0118537,CAVITE              
TRECE MARTIRES CITY HEALTH OFFICE BIRTHING HOME,14.2807303,120.8699639,CAVITE              
TEJEROS CONVENTION MATERNITY CLINIC,14.4024144,120.8624183,CAVITE              
RJL BIRTHING HOME,14.45903,120.92903,CAVITE              
DASMARIÑAS CITY HEALTH OFFICE II LYING-IN CLINIC,14.32944,120.93667,CAVITE              
SAN RAMON MATERNITY AND FAMILY CLINIC,14.3102912,121.0519254,CAVITE              
"ST. RAYMOND NONNATUS MATERNITY, PEDIATRIC AND LYING-IN CLINIC",14.35510531,120.9227615,CAVITE              
MOTHER'S LOVE MATERNITY AND LYING-IN CLINIC,14.4348692,120.8780837,CAVITE              
KAWIT MATERNITY & GENERAL HOSPITAL,14.4451526,120.9065916,CAVITE              
STA. BARBARA MEDICAL AND LYING-IN CLINIC - CARMONA,14.3127904,121.0571013,CAVITE              
BINAKAYAN HOSPITAL AND MEDICAL CENTER,14.44426,120.90164,CAVITE              
PAREDES MEDICAL CENTER AND HOSPITAL,14.42972,120.93667,CAVITE              
"SILANG SPECIALISTS MEDICAL CENTER, INC.",14.2261149,120.9694547,CAVITE              
BELEN J. GUELOS LYING-IN CLINIC,14.42922,120.87989,CAVITE              
RVP LYING-IN CLINIC,14.42972,120.93667,CAVITE              
EAC MATERNITY CENTER,14.32944,120.93667,CAVITE              
COSTA VERDE MEDICAL MATERNITY AND DIAGNOSTIC SERVICES,14.4093,120.85658,CAVITE              
"CARMONA HOSPITAL AND MEDICAL CENTER, INC.",14.3132,121.0576,CAVITE              
PRINCHEL PINK LYING-IN CLINIC,14.21567,120.97137,CAVITE              
PAGAMUTAN NG DASMARIÑAS,14.3248663,120.9639737,CAVITE              
BEULLAH MATERNITY CLINIC,14.32944,120.93667,CAVITE              
MARIA NIGNIMI BIRTHING HOME CLINIC I,14.32944,120.93667,CAVITE              
MAMA RACHEL'S HOSPITAL OF MERCY INC.,14.3810754,120.889193,CAVITE              
IMUS BIRTHING HOME II,14.42972,120.93667,CAVITE              
ANGEL'S CRIB LYING-IN AND MATERNITY CLINIC,14.1215632,120.9682625,CAVITE              
BALDOVINO MEDICAL FAMILY CLINIC - BRANCH 3,14.39834,120.85544,CAVITE              
M.V SANTIAGO MEDICAL CENTER - MAIN,14.28323,120.86766,CAVITE              
ST. THERESE MATERNITY LYING-IN AND MEDICAL CLINIC,65.31735,25.3731,CAVITE              
CHARVER LYING IN CLINIC,14.28323,120.86766,CAVITE              
CHARVER LYING IN CLINIC,14.28323,120.86766,CAVITE              
RODOLFO AND CARMELITA MEDICAL GROUP INC.,14.3263721,120.775245,CAVITE              
PAMPOSA BLUESTAR MATERNITY LYING-IN CLINIC,14.3048994,120.9715345,CAVITE              
ST. THERESE MATERNITY CLINIC,14.31812,120.76609,CAVITE              
LUCKY CHRISTIAN BIRTHING HOME CLINIC,14.45903,120.92903,CAVITE              
VIOLY'S BIRTHING CLINIC - TRECE MARTIRES BRANCH,14.28323,120.86766,CAVITE              
MERCIFUL HEART OF MARY LYING IN CLINIC,14.38694,120.88167,CAVITE              
SHEILA MANIPIS RAMOS LYING-IN CLINIC,14.2267205,120.9726944,CAVITE              
GMF HOSPITAL,14.3284291,120.938069,CAVITE              
CORPUZ LYING IN CLINIC,14.32944,120.93667,CAVITE              
STO. NIÑO DE MOLINO MATERNITY AND MEDICAL CLINIC,14.45903,120.92903,CAVITE              
CNSH BIRTHING HOME CLINIC,14.38694,120.88167,CAVITE              
TENDENCIA MEDICAL AND MATERNITY LYING-IN CLINIC,14.40306,121.03139,CAVITE              
MOM AND DAUGHTER LYING-IN CLINIC III,14.31812,120.76609,CAVITE              
CRISTY RAMOS MATERNITY LYING-IN CLINIC,14.39834,120.85544,CAVITE              
AR-JEN MATERNITY AND LYING-IN CLINIC,14.32944,120.93667,CAVITE              
BUNYI CHILDREN AND MATERNITY CLINIC,14.42972,120.93667,CAVITE              
OSPITAL NG IMUS,14.42972,120.93667,CAVITE              
DREAM CHILD MATERNITY AND LYING-IN CLINIC,14.1969361,120.8775009,CAVITE              
MERCEDES FAMILY CLINIC & LYING IN,14.42972,120.93667,CAVITE              
BABY AND ME MATERNITY & LYING IN CLINIC - IMUS BRANCH,14.42972,120.93667,CAVITE              
BABY JOY MATERNITY AND LYING IN CLINIC,14.45903,120.92903,CAVITE              
LUZ MEDICAL AND LYING-IN CLINIC,14.32944,120.93667,CAVITE              
SAINT MARY MAGDALENE BIRTHING CENTER,14.4418927,120.9093855,CAVITE              
MONAMY'S BIRTHING HOME,14.45903,120.92903,CAVITE              
BALDOVINO MEDICAL FAMILY CLINIC - BRANCH 4,14.31812,120.76609,CAVITE              
PALAR PALAR MATERNITY AND LYING IN CLINIC,14.3788334,120.8538882,CAVITE              
GIVER MATERNITY AND LYING IN CLINIC,14.32944,120.93667,CAVITE              
GWIN LYING-IN CLINIC,14.21567,120.97137,CAVITE              
"SAN PEDRO CALUNGSOD MEDICAL CENTER, INC.",14.44426,120.90164,CAVITE              
G.L. PONIENTE MATERNITY CLINIC,14.3850256,120.8804761,CAVITE              
MORIAH MEDICAL AND LYING-IN CLINIC,14.1932478,120.8779215,CAVITE              
LUCHEL'S MATERNITY AND LYING-IN CLINIC - CARMONA BRANCH,14.3102912,121.0519254,CAVITE              
MAMITA BIRTHING CLINIC,14.32944,120.93667,CAVITE              
WELLWIN MATERNITY CLINIC,14.31812,120.76609,CAVITE              
ALCANTARA MATERNITY AND BIRTHING CLINIC,14.28323,120.86766,CAVITE              
B-CARE MATERNITY CLINIC,14.42972,120.93667,CAVITE              
ST. GERALD MATERNITY & LYING-IN CLINIC,36.4807,-94.27134,CAVITE              
SANCHEZ MATERNITY CLINIC AND BIRTHING HOME,14.21567,120.97137,CAVITE              
WOWA LYING IN CLINIC,14.45903,120.92903,CAVITE              
JESUCITA M. BAYBAY LYING-IN CLINIC,14.1272534,120.9396043,CAVITE              
TIBIG BARANGAY HEALTH STATION & LYING IN,14.2189429,120.9965103,CAVITE              
"SOUTH CITY HOSPITAL AND MEDICAL CENTER, INC.",14.45903,120.92903,CAVITE              
DINDO N. CASTRO MATERNITY CLINIC,14.38694,120.88167,CAVITE              
J.C.B. DONES MATERNITY CLINIC,14.39834,120.85544,CAVITE              
WOMEN'SCLINIC PILIPINAS,14.42972,120.93667,CAVITE              
NOVELETA LYING-IN CENTER,14.42922,120.87989,CAVITE              
DGS MATERNITY LYING-IN CLINIC (BRANCH 1),14.3556807,120.8991765,CAVITE              
"CITY OF IMUS DOCTORS HOSPITAL, INC.",14.42972,120.93667,CAVITE              
EVU LYING-IN CLINIC,14.21567,120.97137,CAVITE              
V.M. CASTRO MATERNITY CLINIC,14.48369,120.89878,CAVITE              
SUSAN S. MABALE WFMC - IMUS BRANCH,40.88333,14.41667,CAVITE              
BOSSING LYING IN CLINIC,14.21567,120.97137,CAVITE              
DOCTORS' FAMILY CLINIC,47.28167,8.45023,CAVITE              
INOCENCIO BIRTHING HOME,14.48369,120.89878,CAVITE              
TANZA SPECIALISTS MEDICAL CENTER,14.3917718,120.8540026,CAVITE              
BABY LOVES BIRTH AND HEALTH CENTER INC.,14.21567,120.97137,CAVITE              
SAMPALOC BIRTHING HOME,14.32944,120.93667,CAVITE              
"SOUTH IMUS SPECIALIST HOSPITAL, INC",14.42972,120.93667,CAVITE              
STA. BARBARA LYING IN CLINIC,14.3127904,121.0571013,CAVITE              
PERNALA-DELOS SANTOS LYING-IN CLINIC,14.38694,120.88167,CAVITE              
MONTESA BIRTHING CENTER,14.48369,120.89878,CAVITE              
AMAYA MATERNITY CLINIC,14.39834,120.85544,CAVITE              
AU M. ATIENZA BAHAY PAANAKAN (LANGKAAN 1 BRANCH),14.32944,120.93667,CAVITE              
KEIDEN LYING IN CLINIC,14.1932478,120.8779215,CAVITE              
BABYKIND MATERNITY CLINIC,14.32944,120.93667,CAVITE              
VENUS AND BPS LYING-IN CLINIC,14.4418927,120.9093855,CAVITE              
GINA J. CASTILLO LYING-IN CLINIC,14.45903,120.92903,CAVITE              
