Name,Latitude,Longitude,Province
ST. CLEMENT MEDICAL CLINIC,14.0647113,121.2456627,LAGUNA              
LOS BAÑOS DOCTORS HOSPITAL AND MEDICAL CENTER,14.15888,121.22907,LAGUNA              
"ST. JOHN THE BAPTIST MEDICAL CENTER, INC.",14.2137169,121.1510244,LAGUNA              
GIZAN MATERNITY MIDWIFE CLINIC,14.21756,121.13041,LAGUNA              
GREAT GIFT MEDICAL SERVICES INC.,14.3595,121.0473,LAGUNA              
LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY DISTRICT HOSPITAL,14.142589,121.4705525,LAGUNA              
UNIVERSITY OF PERPETUAL HELP MEDICAL CENTER BIÑAN,14.34267,121.08071,LAGUNA              
LAGUNA MEDICAL CENTER,14.2749696,121.4186707,LAGUNA              
CERDA MATERNITY LYING-IN CLINIC,14.0691573,121.3250025,LAGUNA              
SUSAN TEMPLO MATERNITY SERVICES,14.21756,121.13041,LAGUNA              
SAN PABLO CITY PUERICULTURE CENTER AND FAMILY PLANNING INC.,14.0714822,121.322447,LAGUNA              
ROSE LYING-IN CLINIC & FAMILY PLANNING,14.0683,121.3256,LAGUNA              
C. E. DACANAYCLINIC,14.3595,121.0473,LAGUNA              
TAGAPO MATERNITY CLINIC & LABORATORY,14.3136408,121.1001034,LAGUNA              
LILIW MUNICIPAL HEALTH OFFICE,14.1313,121.4362,LAGUNA              
(PMA & MC) PAETE MIDWIVES ASSOCIATION,14.3638644,121.4821478,LAGUNA              
NERIE'S BIRTHING HOME CLINIC,14.0683,121.3256,LAGUNA              
CDMC LYING-IN CLINIC,14.0724559,121.3253868,LAGUNA              
DORAY'S PAANAKAN,14.32413,121.09247,LAGUNA              
CALAMBA MEDICAL CENTER,14.2055226,121.1551549,LAGUNA              
NEW SINAI MDI HOSPITAL,14.3208553,121.0970239,LAGUNA              
THE MEDICAL CITY SOUTH LUZON,14.32413,121.09247,LAGUNA              
METRO MEDICS HEALTHCARE SERVICES,14.21756,121.13041,LAGUNA              
DR. J.P. RIZAL MEMORIAL DISTRICT HOSPITAL,14.21756,121.13041,LAGUNA              
MOTHER OF JESUS MATERNITY CLINIC AND FAMILY PLANNING CENTER,17.26667,121.73333,LAGUNA              
UNIHEALTH-STA ROSA. HOSPITAL AND MEDICAL CENTER INC.,14.32413,121.09247,LAGUNA              
"BIÑAN DOCTORS' HOSPITAL, INC.",14.3242551,121.0947923,LAGUNA              
LPH-SAN PABLO CITY DISTRICT HOSPITAL,14.0683,121.3256,LAGUNA              
"COMMUNITY GENERAL HOSPITAL OF SAN PABLO CITY, INC.",14.0697037,121.3115689,LAGUNA              
SAN PABLO COLLEGES MEDICAL CENTER,14.0706073,121.3034409,LAGUNA              
LAGUNA PROVINCIAL HOSPITAL - SAN PEDRO DISTRICT HOSPITAL,14.3595,121.0473,LAGUNA              
CITY HEALTH OFFICE I - CABUYAO,14.2726,121.1262,LAGUNA              
OUR LADY OF PIAT POLYCLINIC & HOSPITAL,14.34267,121.08071,LAGUNA              
"MARIAN HOSPITAL OF STA. ROSA, INC.",14.32413,121.09247,LAGUNA              
CALAMBA DOCTORS HOSPITAL,14.2102117,121.1540227,LAGUNA              
CELIS MATERNITY CLINIC,14.3595,121.0473,LAGUNA              
SAN MIGUEL MEDICAL AND MATERNITY CLINIC,14.2119206,121.1296516,LAGUNA              
CITY HEALTH OFFICE - CALAMBA,14.21756,121.13041,LAGUNA              
SAN PABLO CITY GENERAL HOSPITAL,14.0683,121.3256,LAGUNA              
PAMANA MEDICAL CENTER,14.195172,121.1641388,LAGUNA              
RURAL HEALTH UNIT I - POBLACION HEALTH CENTER,14.3665828,121.0553185,LAGUNA              
"RURAL HEALTH UNIT II - BRGY. LANGGAM, SAN PEDRO LAGUNA",14.3595,121.0473,LAGUNA              
ST. MAGDALENE POLYCLINIC,14.2313816,121.1366753,LAGUNA              
ST. ANNE - IMMANUEL BIRTHING HOME AND FAMILY PLANNING CLINIC,14.4216,121.4463,LAGUNA              
ELSA A. ANGARA LYING-IN CLINIC,14.2156414,121.1722742,LAGUNA              
BNR MATERNITY SERVICES,14.21756,121.13041,LAGUNA              
MARILOU RIVERA MATERNITY SERVICES,14.21756,121.13041,LAGUNA              
