Name,Latitude,Longitude,Province
SAN JUAN DISTRICT HOSPITAL,13.8086779,121.3902996,BATANGAS            
LIPA CITY HOSPITAL SYSTEM 2,13.9411,121.1631,BATANGAS            
(CLOSE) HOLY INFANT HOSPITAL,13.9411,121.1631,BATANGAS            
ZIGZAG HOSPITAL,13.7573308,120.9487438,BATANGAS            
TUY GENERAL HOSPITAL,14.0164123,120.729952,BATANGAS            
CITY HEALTH OFFICE - LIPA,13.9411,121.1631,BATANGAS            
LITTLE ANGELS MEDICAL HOSPITAL,13.8809,120.91389,BATANGAS            
N. L. VILLA MEMORIAL MEDICAL CENTER,13.9411,121.1631,BATANGAS            
HOLY QUEEN MATERNITY LYING-IN AND MEDICAL CLINIC,13.7919382,121.0085927,BATANGAS            
H.M. CORACHEA GENERAL HOSPITAL,14.1387735,121.091476,BATANGAS            
HEALTHWAY DANIEL O. MERCADO MEDICAL CENTER,14.10127,121.10042,BATANGAS            
SAINT MARTIN GENERAL HOSPITAL,13.8809,120.91389,BATANGAS            
LAUREL MEMORIAL DISTRICT HOSPITAL,14.0916015,121.1137005,BATANGAS            
METROPOLITAN MEDICAL CENTER - NASUGBU BRANCH,14.0722,120.6332,BATANGAS            
CENTRAL AZUCARERA DON PEDRO HOSPITAL,14.0516014,120.6600464,BATANGAS            
DIVINE CARE HOSPITAL,13.8293498,121.3658845,BATANGAS            
OUR LADY OF CAYSASAY MEDICAL CENTER,13.8809,120.91389,BATANGAS            
OSPITAL NG NASUGBU,14.0722,120.6332,BATANGAS            
METRO BALAYAN MEDICAL CENTER,13.93714,120.73224,BATANGAS            
"CHRIST THE SAVIOUR MEDICAL CENTER, INC.",13.8459715,121.2094585,BATANGAS            
PHO - CALATAGAN MEDICARE HOSPITAL,13.8311504,120.6304892,BATANGAS            
DON MANUEL LOPEZ MEMORIAL DISTRICT HOSPITAL,13.9450511,120.7417757,BATANGAS            
DIVINE LOVE MEDICAL CENTER INC,13.9411,121.1631,BATANGAS            
SAINT PATRICK'S HOSPITAL MEDICAL CENTER,13.7554484,121.0606517,BATANGAS            
DR. ERNESTO H. MALABANAN MEMORIAL HOSPITAL,14.0316227,120.9112077,BATANGAS            
APACIBLE MEMORIAL DISTRICT HOSPITAL,14.0722,120.6332,BATANGAS            
STO. TOMAS MUNICIPAL HOSPITAL,13.7567,121.0584,BATANGAS            
OUR LADY OF BEAUTIFUL LOVE CLINIC AND BIRTHING HOME,13.7567,121.0584,BATANGAS            
ST. ANDREW HOSPITAL,14.0935982,121.0296339,BATANGAS            
BATANGAS CITY MATERNITY HOUSE & PUERICULTURE CENTER,13.7552786,121.0596635,BATANGAS            
ST. NAZARIUS MEDICAL CLINIC,14.04472,121.15861,BATANGAS            
BAUAN GENERAL HOSPITAL,13.7847662,121.0088115,BATANGAS            
"SHECHEM LABORATORY AND POLYMEDICAL CENTER INC.,",32.535,-114.96806,BATANGAS            
SAINT LIGHT BIRTHING HOMES AND MEDICAL CLINIC,14.0722,120.6332,BATANGAS            
ST. FRANCES CABRINI MEDICAL CENTER,14.0887688,121.1760149,BATANGAS            
LOBO MUNICIPAL HOSPITAL,13.6381972,121.2017066,BATANGAS            
"MANUELA MATERNITY CLINIC, INC.",13.7576939,121.0689278,BATANGAS            
BIRHEN NG ESCALERA BIRTHING HOME AND MATERNITY CLINIC,14.07230202,120.6371972,BATANGAS            
SANTO TOMAS GENERAL HOSPITAL,13.7567,121.0584,BATANGAS            
JLS BIRTHING HOME & LYING-IN CLINIC,13.7567,121.0584,BATANGAS            
TALISAY HEALTH CENTER AND BIRTHING HOME,14.0925,121.02194,BATANGAS            
ST. JOHN WOMEN'S CLINIC AND BIRTHING HOME,13.8436754,121.1950809,BATANGAS            
BATANGAS PROVINCIAL HOSPITAL,13.8895135,120.9098774,BATANGAS            
SAN JOSE DISTRICT HOSPITAL,13.9160273,121.1138415,BATANGAS            
MABINI GENERAL HOSPITAL,13.7525905,120.9406154,BATANGAS            
SAINT NICHOLAS DOCTOR'S HOSPITAL,13.9243854,120.9567676,BATANGAS            
MAHAL NA VIRGEN MARIA STO. ROSARIO DISTRICT HOSPITAL,13.8436754,121.1950809,BATANGAS            
IMMANUEL DIAGNOSTIC CENTER AND DRUG TESTING LABORA,14.0722,120.6332,BATANGAS            
