Name,Latitude,Longitude,Province
CAINTA MUNICIPAL HOSPITAL,14.5786,121.1222,RIZAL               
VIRGINIA A. PASIA - WFMC,14.4854,121.3062,RIZAL               
WFMC - AMOIN,14.4968,121.2846,RIZAL               
CRIBS FOUNDATION INC.,14.62578,121.12251,RIZAL               
SIMEON MATERNITY AND MULTI-SPECIALTY CLINIC,14.62578,121.12251,RIZAL               
MONTALBAN INFIRMARY,14.7444949,121.1401666,RIZAL               
ST. MATTHEUS MEDICAL HOSPITAL,14.6751883,121.1098515,RIZAL               
ANTIPOLO COMMUNITY HOSPITAL,14.62578,121.12251,RIZAL               
ST. CLEMENT MEDICAL INC. (SCMI) CLINICS AND DIAGNOSTIC CENTER,14.526675,121.1540058,RIZAL               
RIZAL PROVINCIAL HOSPITAL SYSTEM-ANTIPOLO ANNEX,14.62578,121.12251,RIZAL               
MIKKO MEDICS MEDICAL MATERNITY LYING-IN CLINIC,14.5274675,121.1538545,RIZAL               
HERMOSO-ESPIRITU MATERNITY & CHILDREN'S CLINIC,14.62578,121.12251,RIZAL               
BERNARDO-TAN MATERNITY AND CHILDRENS CLINIC,14.62578,121.12251,RIZAL               
SANTANA-BASILIO MEDICAL AND MATERNITY CLINIC,14.62578,121.12251,RIZAL               
CENTROFERN DIAGNOSTIC LABORATORY,14.5266,121.1536,RIZAL               
ST. BLASE MATERNITY AND MEDICAL CLINIC,14.62578,121.12251,RIZAL               
FRIENDLY HILLS MEDICAL SERVICES INC.,14.55883,121.13285,RIZAL               
UNCIANO MEDICAL CENTER,14.62578,121.12251,RIZAL               
CAMACHO BIRTHING HOME & FAMILY PLANNING CLINIC,14.62578,121.12251,RIZAL               
BLUESTAR ALPHA LYING-IN CLINIC,14.5786,121.1222,RIZAL               
M. FANTILAGAN LYING-IN CLINIC,14.55883,121.13285,RIZAL               
WDC MONTALBAN MIDWIFE CLINIC,37.33939,-121.89496,RIZAL               
"TAYTAY DOCTORS MULTISPECIALTY HOSPITAL, INC",14.55883,121.13285,RIZAL               
TIMOTEO LYING-IN,14.62578,121.12251,RIZAL               
JALAJALA RURAL HEALTH UNIT,14.58333,121.16667,RIZAL               
MAIN RURAL HEALTH UNIT I BINANGONAN,14.4646,121.1929,RIZAL               
SAN MATEO MUNICIPAL LYING-IN,14.674966,121.1305889,RIZAL               
SORIANO - LEYBLE MEDICAL AND MATERNITY HOSPITAL,14.62578,121.12251,RIZAL               
RIZAL PROVINCIAL HOSPITAL SYSTEM - ANGONO ANNEX,14.5266,121.1536,RIZAL               
TRIPLE M MATERNITY AND BIRTHING CLINIC,14.55883,121.13285,RIZAL               
ST. SERVATIUS HEALTHCARE SERVICES,14.4634919,121.1916063,RIZAL               
MARRERO ACOP PEDIATRIC HOSPITAL,14.62578,121.12251,RIZAL               
SAN JUAN CLINICAL LABORATORY,14.5726972,121.126418,RIZAL               
ATE WILMA'S PAANAKAN,14.76011,121.19993,RIZAL               
KASINAY LYING-IN CLINIC,14.4646,121.1929,RIZAL               
MARICHAR LYING-IN CLINIC,14.5786,121.1222,RIZAL               
MANILA EAST MEDICAL CENTER,14.5740982,121.1436702,RIZAL               
